cpv_code;cpv_description;total_tenders
79934000-0;Usługi projektowania mebli;3
80411100-9;Usługi w zakresie egzaminów na prawo jazdy;3
85111200-2;Medyczne usługi szpitalne;3
85111500-5;Usługi szpitalne psychiatryczne;3
85111700-7;Usługi terapii tlenowej;3
85121220-1;Usługi specjalistyczne w zakresie nefrologii lub układu nerwowego;3
85312200-1;Dostarczanie zakupów do domu;3
85323000-9;Usługi zdrowotne świadczone na rzecz wspólnot;3
90523000-9;Usługi usuwania odpadów toksycznych, z wyjątkiem odpadów radioaktywnych i zanieczyszczonej gleby;3
90711400-8;Usługi oceny oddziaływań na środowisko innych niż powodowanych przez branżę budowlaną;3
90722300-7;Usługi rekultywacji gruntu;3
90730000-3;Śledzenie zanieczyszczeń, monitoring i rekultywacja;3
90918000-5;Usługi czyszczenia pojemników na odpadki;3
92312250-8;Usługi świadczone przez indywidualnych artystów;3
92531000-2;Usługi świadczone przez ogrody botaniczne;3
98133100-5;Usługi w zakresie poprawy oraz wspierania administracji samorządowej i wspólnot samorządowych;3
98320000-2;Usługi fryzjerskie oraz dotyczące pielęgnacji urody;3
98900000-2;Usługi świadczone przez zagraniczne organizacje i organy;3
03115000-0;Surowce roślinne;2
03142100-9;Miód naturalny;2
03211120-0;Pszenica zwykła;2
03212210-5;Warzywa strączkowe suszone;2
03212220-8;Jadalne nasiona roślin strączkowych;2
03221210-1;Fasola;2
03221220-4;Groch;2
03222100-4;Owoce i orzechy tropikalne;2
03222112-1;Ananasy;2
03324000-6;Drób żywy;2
09210000-4;Preparaty smarowe;2
09211630-6;Oleje przeciwkorozyjne;2
14212400-4;Gleby;2
14830000-8;Włókno szklane;2
14900000-0;Odzyskane surowce wtórne;2
14910000-3;Odzyskane surowce wtórne z metalu;2
14930000-9;Pył i pozostałości zawierające metale;2
15112130-6;Kurczęta;2
15119100-6;Mięso królicze;2
15131700-2;Przetwory mięsne;2
15234000-7;Ryby wędzone;2
15242000-6;Gotowe dania rybne;2
15311100-2;Chipsy i frytki;2
15321800-2;Soki skoncentrowane;2
15331137-6;Kiełki sojowe;2
15332296-5;Dżem truskawkowy;2
15410000-5;Surowe oleje i tłuszcze zwierzęce lub roślinne;2
15411110-6;Oliwa z oliwek;2
15512000-0;Śmietana;2
15551300-8;Jogurt;2
15620000-0;Skrobia i produkty skrobiowe;2
15813000-0;Wyroby śniadaniowe;2
15831600-8;Miód;2
15842220-0;Batony czekoladowe;2
15850000-1;Produkty z ciasta makaronowego;2
15861100-2;Kawa palona;2
15862000-8;Substytuty kawy;2
15891100-1;Zupy mięsne;2
15911100-8;Wódki;2
15981400-2;Wody mineralne z dodatkiem substancji smakowych;2
16320000-4;Maszyny do przygotowania siana;2
16612000-8;Maszyny do sortowania lub klasyfikowania produktów;2
16800000-3;Części maszyn używanych w rolnictwie i leśnictwie;2
18210000-4;Palta;2
18220000-7;Odzież przeciwdeszczowa;2
18221000-4;Odzież nieprzemakalna;2
18318300-4;Pidżamy;2
18444000-3;Ochronne nakrycia głowy;2
18512000-1;Monety i medale;2
18910000-1;Wyroby rymarskie;2
18923000-5;Portmonetki i portfele;2
18931000-4;Torby podróżne;2
18936000-9;Torby włókiennicze;2
18937000-6;Torebki do pakowania towarów;2
18939000-0;Torby podręczne;2
19241000-7;Okrywa włókienna;2
19435100-5;Nici do szycia;2
19510000-4;Produkty z gumy;2
19730000-2;Włókna sztuczne;2
22114200-4;Atlasy;2
22160000-9;Informatory;2
22212100-0;Wydawnictwa seryjne;2
22313000-7;Przedruki;2
22822000-8;Formularze urzędowe;2
22992000-0;Papier czerpany lub tektura;2
22993300-0;Papier termograficzny lub tektura;2
24211000-6;Tlenek cynku i nadtlenek cynku, tlenek tytanu, barwniki i pigmenty;2
24213000-0;Wapno uwodnione;2
24313000-1;Siarczki, siarczany, azotany, fosforany i węglany;2
24322220-5;Etanol;2
24326000-5;Aldehyd, keton, nadtlenki organiczne i etery;2
24420000-4;Nawozy fosforowe;2
24421000-1;Nawozy fosforowe mineralne;2
24911200-5;Spoiwa;2
24951311-8;Środki zapobiegające zamarzaniu;2
24958200-6;Środki kłaczkujące;2
30121400-7;Powielacze;2
30141100-0;Kalkulatory kieszonkowe;2
30160000-8;Karty magnetyczne;2
30170000-1;Maszyny do metkowania;2
30191200-6;Rzutniki do przezroczy;2
30192153-8;Pieczątki z napisami;2
30193000-8;Organizatory i akcesoria;2
30193800-6;Tabliczki na wiadomości;2
30195800-0;Szyny lub uchwyty do zawieszania;2
30195913-5;Sztalugi flipchart;2
30199330-2;Papier ciągły do drukarek komputerowych;2
30199410-7;Papier samoprzylepny;2
30232600-0;Kodery;2
30233150-7;Napędy dysku optycznego;2
30233310-7;Czytniki odcisków palców;2
31141000-6;Chłodnice wody;2
31161200-4;Układy chłodzenia gazu;2
31211000-8;Tablice i skrzynki bezpiecznikowe;2
31211100-9;Tablice do aparatury elektrycznej;2
31219000-4;Skrzynki zabezpieczające;2
31514000-2;Lampy wyładowcze;2
31516000-6;Lampy podczerwieni;2
31518000-0;Światła sygnalizacyjne;2
31521300-7;Przenośne lampy elektryczne;2
31523100-9;Neony reklamowe;2
31524210-0;Oświetlenie ścienne;2
31630000-1;Magnesy;2
31681500-8;Ogniwa doładowawcze;2
31711110-7;Przekaźniki;2
31711130-3;Oporniki;2
31712332-6;Tyrystory;2
32270000-6;Cyfrowa aparatura nadawcza;2
32343100-0;Wzmacniacze częstotliwości akustycznych;2
32344100-7;Przenośne odbiorniki do przywoływania i wywoływania;2
32344260-6;Sprzęt radiowy i multipleksy;2
32344270-9;Radiowy i telefoniczny sprzęt sterujący;2
32344280-2;Radia przenośne;2
32351300-1;Akcesoria do urządzeń audio;2
32354800-7;Inne klisze;2
32552410-4;Modemy;2
32581000-9;Sprzęt do przesyłu danych;2
32581210-4;Akcesoria i elementy składowe do urządzeń faksowych;2
33111100-2;Stoły rentgenowskie;2
33112300-1;Skanery ultradźwiękowe;2
33113100-6;Skanery rezonansu magnetycznego;2
33121000-4;Ambulatoryjny system rejestrujący;2
33141118-0;Waciki;2
33141126-9;Podwiązki naczyniowe;2
33141326-1;Igły do procedur radiologicznych;2
33141530-4;Koagulanty krwi;2
33141810-1;Tworzywa do wypełnień stomatologicznych;2
33157700-2;Worki ambu;2
33169200-4;Kosze chirurgiczne;2
33192130-2;Łóżka z silnikiem;2
33193110-3;Pojazdy inwalidzkie;2
33193220-7;Części i akcesoria do wózków inwalidzkich;2
33615000-4;Produkty lecznicze używane przy cukrzycy;2
33621300-2;Preparaty przeciw anemii;2
33632000-9;Produkty lecznicze dla układu mięśniowo-szkieletowego;2
33632200-1;Środki rozluźniające mięśnie;2
33640000-8;Produkty lecznicze dla układu moczowo-płciowego oraz hormonów;2
33642200-4;Kortykosterydy do użytku ogólnoustrojowego;2
33651000-8;Ogólne środki przeciwinfekcyjne do użytku ogólnoustrojowego oraz szczepionki;2
33651510-6;Surowice odpornościowe;2
33652200-7;Produkty lekarskie do terapii układu dokrewnego;2
33693300-7;Środki leczenia uzależnień;2
33698000-9;Produkty lekarskie;2
33733000-7;Okulary przeciwsłoneczne;2
33914000-0;Nici, igły i zaciski do autopsji;2
33933100-0;Stoły do przeprowadzania autopsji;2
33935000-3;Stoły lub akcesoria do przeprowadzania sekcji zwierząt;2
34114210-4;Pojazdy do transportu więźniów;2
34136200-1;Półciężarówki z usztywnieniem;2
34144211-0;Pojazdy ciężarowe z drabiną obrotową;2
34144910-0;Autobusy elektryczne;2
34221300-5;Wozy ratownictwa chemicznego;2
34223320-5;Przyczepy do transportu koni;2
34311000-0;Silniki do pojazdów;2
34327200-7;Kolumny i przekładnie kierownicze;2
34328300-5;Pasy bezpieczeństwa;2
34400000-1;Motocykle, rowery, przyczepy motocyklowe boczne;2
34420000-7;Skutery silnikowe i rowery z silnikiem;2
34621000-6;Kolejowe pojazdy konserwacyjne lub usługowe i kolejowe wagony towarowe;2
34630000-2;"Części lokomotyw kolejowych lub tramwajowych, lub taboru kolejowego; urządzenia do sterowania ruchem kolejowym";2
34632100-7;Sygnalizacja mechaniczna;2
34700000-4;Statki powietrzne i kosmiczne;2
34710000-7;Śmigłowce, samoloty, statki kosmiczne i inne statki powietrzne z napędem;2
34720000-0;Balony, sterowce i pozostałe statki powietrzne nienapędzane paliwem;2
34731400-4;Silniki odrzutowe;2
34741400-7;Symulatory lotu;2
34928120-5;Elementy barier;2
34928320-7;Odbojnice;2
34928530-2;Latarnie uliczne;2
34932000-9;Zestawy radarowe;2
34941100-6;Pręty;2
34946100-1;Materiały do budowy torów kolejowych;2
34946210-5;Szyny przewodzące prąd;2
34953100-3;Pomosty promowe;2
34954000-9;Suwnice bramowe;2
34997210-7;Oświetlenie pasów startowych;2
35111200-7;Tworzywa gaśnicze;2
35111300-8;Gaśnice;2
35113440-5;Kamizelki odblaskowe;2
35123400-6;Znaczki identyfikacyjne;2
35126000-3;Urządzenia do skanowania kodów kreskowych;2
35260000-4;Znaki policyjne;2
35412500-0;Pojazdy dowodzenia i łączności;2
35420000-4;Części pojazdów wojskowych;2
35740000-3;Symulatory walki;2
37312200-0;Puzony;2
37313000-5;Instrumenty strunowe;2
37313500-0;Harfy;2
37313900-4;Kontrabasy;2
37315100-0;Syntezatory;2
37411100-3;Sprzęt narciarski i snowboardowy;2
37412220-7;Butle do nurkowania;2
37412241-0;Aparatura oddechowa do nurkowania;2
37412270-2;Kombinezony suche;2
37413000-6;Artykuły myśliwskie lub połowowe;2
37413100-7;Artykuły wędkarskie;2
37413200-8;Artykuły myśliwskie;2
37442000-8;Ciężarki i sprzęt do ćwiczeń na wytrzymałość;2
37451700-1;Piłki do piłki nożnej;2
37821000-9;Pędzle artystyczne;2
37823000-3;Papier tłuszczoodporny i inne wyroby papierowe;2
38121000-9;Anemometry;2
38125000-7;Rejestratory opadów deszczu;2
38126400-8;Aparatura do obserwacji powierzchniowej wiatru;2
38311200-0;Elektroniczne wagi techniczne;2
38341100-8;Rejestratory wiązki elektronowej;2
38341310-3;Amperomierze;2
38417000-1;Termopary;2
38422000-9;Urządzenia do pomiaru poziomu;2
38425100-1;Manometry;2
38425600-6;Piknometry;2
38434300-9;Urządzenia do pomiaru natężenia hałasu;2
38436300-3;Wstrząsarki inkubacyjne;2
38436800-8;Homogenizatory z łopatkami obrotowymi;2
38515100-9;Mikroskopy polaryzacyjne;2
38517200-4;Mikroskopy projekcyjne;2
38622000-1;Lustra;2
38640000-3;Urządzenia ciekłokrystaliczne;2
38651100-4;Soczewki do aparatów fotograficznych;2
38942000-7;Liczniki promieniowania alfa i beta;2
38947000-7;Mikroanalizatory promieniowania rentgenowskiego;2
39136000-4;Wieszaki na odzież;2
39141200-4;Blaty;2
39143120-3;Meble do sypialni, inne niż łóżka i kanapy;2
39143310-2;Stoliki;2
39221160-6;Tacki;2
39224100-9;Miotły;2
39226100-3;Skrzynki na butelki;2
39298200-9;Ramki do obrazków;2
39298700-4;Trofea;2
39299300-7;Lustra szklane;2
39511100-8;Koce;2
39512100-5;Prześcieradła;2
39522000-7;"Brezenty, żagle do łodzi, desek windsurfingowych lub pojazdów lądowych; markizy, zasłony przeciwsłoneczne, namioty i sprzęt kempingowy";2
39522110-1;Brezenty impregnowane;2
39522400-1;Żagle;2
39525300-1;Kamizelki ratunkowe;2
39531200-5;Pokrycia podłogowe tkane;2
39561131-9;Etykiety z tworzyw włókienniczych;2
39711123-7;Zamrażarki stojące;2
39711200-1;Roboty kuchenne;2
39712300-9;Aparaty do suszenia rąk;2
39713000-3;"Elektryczny sprzęt gospodarstwa domowego do czyszczenia; żelazka do prasowania";2
39721321-8;Sprężarkowe osuszacze powietrza;2
39812000-7;Pasty i kremy;2
39812500-2;Substancje uszczelniające;2
39831220-4;Środki odtłuszczające;2
39831600-2;Środki do czyszczenia toalet;2
42111000-0;Silniki;2
42113000-4;Części turbin;2
42122100-1;Pompy cieczowe;2
42122210-5;Układy hydrauliczne;2
42122230-1;Pompy podawcze;2
42122460-2;Pompy powietrza;2
42122480-8;Pompy wirowe;2
42122510-8;Pompy perystaltyczne;2
42123500-2;Turbosprężarki;2
42131140-9;Zawory obniżające ciśnienie, sterujące, kontrolne lub bezpieczeństwa;2
42131148-5;Zawory odcinające;2
42142000-6;Części przekładni i elementów napędowych;2
42160000-8;Układy kotłów grzewczych;2
42213000-2;Maszyny używane do produkcji napojów alkoholowych lub owocowych;2
42215200-8;Maszyny do przetwarzania żywności;2
42414150-7;Żurawie wieżowe;2
42415310-4;Pojazdy swobodnie sterowane;2
42416200-7;Wyciągi pochyłe;2
42418920-4;Urządzenia wyładowcze;2
42419000-6;Części urządzeń podnośnikowych i przeładunkowych;2
42419800-4;Części przenośników;2
42632000-5;Obrabiarki sterowane komputerowo do metalu;2
42637000-0;Obrabiarki do wiercenia, strugania lub frezowania metalu;2
42642000-8;Obrabiarki do obróbki drewna, kości, korka, gumy lub twardych tworzyw sztucznych;2
42651000-4;Pneumatyczne narzędzia ręczne;2
42665000-5;Maszyny do natryskiwania metalu;2
42713000-7;Maszyny tkackie;2
42718000-2;Włókiennicze maszyny wykańczalnicze;2
42913300-2;Filtry oleju;2
42943210-3;Termostaty zanurzeniowe;2
42943400-2;Układy chłodzące i chłodzące/grzewcze z obiegiem;2
42965110-2;System składowania;2
42991400-3;Suszarki do drewna, masy papierniczej lub tektury;2
42993200-5;Instalacje dawkujące;2
42994000-0;Maszyny do obróbki gumy i tworzyw sztucznych;2
42996500-9;Ekrany przesiewowe do odpadów;2
42997000-1;Maszyny do rurociągów;2
42999000-5;Odkurzacze i froterki do podłóg inne niż używane w gospodarstwie domowym;2
43136000-5;Urządzenia wiertnicze;2
43252000-4;Ładowarki czołowe bez lemiesza;2
43611700-6;Sprzęt do mocowania;2
43612100-7;Zawiesia szybowe;2
43612800-4;Wyciągarki;2
43700000-0;Części maszyn metalurgicznych oraz podobne części;2
43710000-3;Maszyny do walcowania metalu;2
44111100-2;Cegły;2
44115900-8;Urządzenia do ochrony przeciwsłonecznej;2
44161000-6;Rurociągi;2
44163110-4;Rury odpływowe;2
44167000-8;Różny osprzęt do przewodów;2
44172000-6;Arkusze (budowlane;2
44175000-7;Panele;2
44191600-1;Panele parkietowe;2
44192200-4;Gwoździe;2
44212100-0;Mosty;2
44212120-6;Konstrukcje mostowe;2
44212226-9;Słupy energetyczne;2
44212391-6;Bramy śluzowe;2
44212410-6;Ścianki szczelne;2
44221211-7;Framugi drzwi;2
44221310-1;Bramy wejściowe;2
44221500-0;Progi;2
44318000-2;Przewodniki;2
44481000-5;Drabiny platformowe;2
44511110-9;Szpadle;2
44512400-6;Nożyce do cięcia drutu;2
44520000-1;Zamki, klucze i zawiasy;2
44523300-5;Osprzęt;2
44530000-4;Zaczepy;2
44531510-9;Śruby i wkręty;2
44540000-7;Łańcuch;2
44550000-0;Sprężyny;2
44600000-6;"Zbiorniki, rezerwuary i pojemniki; grzejniki centralnego ogrzewania i kotły";2
44613200-2;Pojemniki chłodzone;2
44613800-8;Pojemniki na tworzywa odpadowe;2
44618310-1;Korki;2
44621111-0;Grzejniki centralnego ogrzewania nieogrzewane elektrycznie;2
44812200-7;Farby olejne i wodne;2
44812400-9;Wyroby dekoracyjne;2
44910000-2;Kamień budowlany;2
44922100-0;Kreda;2
45112200-7;Usuwanie powłoki gleby;2
45112713-6;Roboty w zakresie kształtowania ogródków dachowych;2
45212331-5;Roboty budowlane w zakresie bibliotek multimedialnych;2
45213210-8;Instalowanie chłodni;2
45213230-4;Roboty budowlane w zakresie składów;2
45213252-4;Roboty budowlane w zakresie warsztatów;2
45213280-9;Roboty budowlane w zakresie kompostowni;2
45213314-7;Roboty budowlane w zakresie zajezdni autobusowych;2
45213350-1;Roboty budowlane w zakresie budowy obiektów budowlanych związanych z różnymi środkami transportu;2
45214420-0;Roboty budowlane w zakresie sal wykładowych;2
45214631-2;Roboty instalacyjne w zakresie pomieszczeń czystych;2
45215130-7;Roboty budowlane w zakresie klinik;2
45215141-7;Roboty budowlane w zakresie sal operacyjnych;2
45221241-3;Roboty budowlane w zakresie tuneli drogowych;2
45221243-7;Roboty budowlane w zakresie tuneli dla pieszych;2
45222200-1;Roboty inżynieryjne na instalacjach wojskowych;2
45223700-3;Roboty budowlane w zakresie stacji obsługi;2
45232154-6;Roboty budowlane w zakresie wysoko umieszczonych zbiorników wody pitnej;2
45233139-3;Roboty budowlane w zakresie konserwacji dróg krajowych;2
45233330-1;Fundamentowanie ulic;2
45234200-8;Systemy transportu linowego;2
45236300-3;Wyrównywanie terenu cmentarzy;2
45247220-8;Roboty budowlane w zakresie przelewów;2
45247230-1;Roboty budowlane w zakresie grobli;2
45250000-4;Roboty w zakresie instalowania, wydobycia produkcji oraz budowy obiektów budowlanych przemysłu naftowego i gazowniczego;2
45251250-8;Roboty budowlane w zakresie lokalnych zakładów grzewczych;2
45252121-2;Instalacje osadu;2
45253800-3;Roboty budowlane w zakresie zakładów kompostowania;2
45254100-3;Roboty budowlane dla górnictwa;2
45255121-3;Roboty budowlane w zakresie obiektów nadwodnych;2
45259900-6;Modernizacja zakładów;2
45261310-0;Kładzenie zaprawy;2
45262211-3;Wbijanie pali;2
45262350-9;Betonowanie bez zbrojenia;2
45262680-1;Spawanie;2
45312330-9;Montaż anten radiowych;2
45343100-4;Roboty w zakresie umocnień przeciwogniowych;2
45421150-0;Instalowanie stolarki niemetalowej;2
45431200-9;Kładzenie glazury;2
48213000-4;Pakiety oprogramowania do rozszerzania systemu operacyjnego;2
48442000-8;Pakiety oprogramowania do systemów finansowych;2
48512000-0;Pakiety oprogramowania do interaktywnych odpowiedzi głosowych;2
48513000-7;Pakiety oprogramowania do modemów;2
48516000-8;Pakiety oprogramowania do wymiany danych;2
48625000-5;Systemy operacyjne dla systemów otwartych;2
48783000-0;Pakiety oprogramowania do zarządzania zawartością;2
48790000-2;Pakiety oprogramowania do sprawdzania wersji;2
48813000-0;System informacji ruchu pasażerskiego;2
48985000-6;Języki programowania;2
48986000-3;Pakiety oprogramowania do testowania programów;2
48990000-4;Pakiety oprogramowania arkuszy kalkulacyjnych i rozszerzeń;2
50212000-4;Usługi w zakresie napraw i konserwacji śmigłowców;2
50334100-6;Usługi w zakresie napraw i konserwacji sprzętu telefonii kablowej;2
50640000-3;Usługi w zakresie napraw i konserwacji okrętów wojennych;2
51215000-2;Usługi instalowania urządzeń meteorologicznych;2
60210000-3;Usługi publicznego transportu kolejowego;2
60651100-7;Wynajem morskich jednostek pływających wraz z załogą;2
63111000-0;Usługi przeładunku pojemników;2
63710000-9;Usługi dodatkowe w zakresie transportu lądowego;2
63721400-3;Usługi w zakresie tankowania statków;2
64121200-2;Usługi dostarczania paczek;2
64214200-1;Usługi centrali telefonicznych;2
64216100-4;Elektroniczne usługi przekazywania wiadomości;2
64220000-4;Usługi telekomunikacyjne, z wyjątkiem usług telefonicznych i przesyłu danych;2
66513200-1;Usługi ubezpieczenia wykonawcy od wszelkiego ryzyka;2
66519200-3;Usługi ubezpieczenia robót inżynieryjnych;2
71245000-7;Plany zatwierdzające, rysunki robocze i specyfikacje;2
71328000-3;Usługi kontroli projektu konstrukcji nośnych;2
71351100-4;Usługi przygotowania i analizy podłoża;2
71351210-8;Geofizyczne usługi doradcze;2
71351500-8;Usługi badania gleby;2
71351710-3;Usługi poszukiwań geofizycznych;2
71351720-6;Geofizyczne pomiary terenów archeologicznych;2
71351923-2;Usługi pomiarów batymetrycznych;2
71352300-3;Usługi badania magnetometrycznego;2
71353100-8;Usługi badania hydrograficznego;2
71631100-1;Usługi nadzorowania maszyn;2
71631490-1;Usługi kontroli pasów startowych;2
71730000-4;Usługi kontroli przemysłowej;2
72212215-9;Usługi opracowywania oprogramowania dla programujących pracę w sieci;2
72212328-4;Usługi opracowywania oprogramowania do przetwarzania obrazów;2
72212450-8;Usługi opracowywania oprogramowania do rozliczania czasu i zarządzania zasobami ludzkimi;2
72212463-2;Usługi opracowywania oprogramowania statystycznego;2
72212516-9;Usługi opracowywania oprogramowania do wymiany danych;2
72212730-5;Usługi opracowywania oprogramowania zabezpieczającego;2
72226000-5;Usługi doradcze w zakresie badań odbiorczych oprogramowania systemowego;2
72253100-4;Usługi pomocy komputerowej;2
72264000-3;Usługi powielania oprogramowania;2
72541000-9;Usługi rozbudowy sprzętu komputerowego;2
75222000-8;Usługi obrony cywilnej;2
75242100-5;Usługi w zakresie porządku publicznego;2
76211100-6;Usługi kładzenia rurociągów;2
76431000-3;Usługi odwiertów;2
76431500-8;Usługi nadzorowania wierceń;2
77231200-0;Usługi zwalczania szkodników leśnych;2
77231400-2;Usługi oceny zasobów leśnych;2
77231500-3;Usługi monitorowania lub oceny lasu;2
77315000-1;Usługi w zakresie siewu;2
79211100-7;Usługi księgowania;2
79212200-5;Usługi audytu wewnętrznego;2
79430000-7;Usługi zarządzania kryzysowego;2
79560000-7;Usługi w zakresie klasyfikowania;2
79571000-7;Usługi wysyłkowe;2
79623000-7;Usługi w zakresie pozyskiwania pracowników handlowych i przemysłowych;2
79822300-5;Usługi składania;2
79955000-3;Usługi w zakresie organizacji pokazów mody;2
79994000-8;Usługi zarządzania umowami;2
79995000-5;Usługi prowadzenia bibliotek;2
79995200-7;Usługi katalogowania;2
80490000-5;Prowadzenie ośrodków nauczania;2
80512000-6;Usługi szkolenia psów;2
85121210-8;Usługi ginekologiczne lub położnicze;2
85121230-4;Usługi kardiologiczne lub specjalistyczne usługi pulmonologiczne;2
85141211-1;Dializy wykonywane w warunkach domowych;2
85312510-7;Usługi rehabilitacji zawodowej;2
90731300-3;Usługi ochrony powietrza przed zanieczyszczeniem;2
90733100-5;Usługi monitoringu lub kontroli skażenia wód powierzchniowych;2
90733700-1;Usługi monitoringu lub kontroli skażenia wód gruntowych;2
90911100-7;Usługi sprzątania miejsc noclegowych;2
92310000-7;Usługi tworzenia dzieł artystycznych i literackich oraz przekładu;2
92521100-0;Usługi wystawowe świadczone przez muzea;2
92621000-0;Usługi promocji wydarzeń sportowych;2
98110000-7;Usługi świadczone przez organizacje przedsiębiorców, organizacje zawodowe oraz organizacje specjalistyczne;2
98321000-9;Usługi fryzjerskie;2
98341130-5;Usługi stróżowania;2
03117120-1;Rośliny używane w przemyśle farmaceutycznym;1
03142300-1;Jadalne produkty pochodzenia zwierzęcego;1
03221300-9;Warzywa liściaste;1
03222118-3;Owoce kiwi;1
03222320-2;Jabłka, gruszki i pigwy;1
03330000-3;Produkty zwierząt hodowlanych;1
03400000-4;Leśnictwo i pozyskiwanie drewna;1
03411000-4;Drewno drzew iglastych;1
03414000-5;Drewno surowe;1
03417100-7;Trociny;1
03418100-4;Drewno twarde;1
03421000-7;Żywice;1
03451200-8;Cebulki kwiatowe;1
03460000-2;Masa papiernicza;1
09121100-4;Gaz węglowy lub podobne gazy;1
09211300-4;Oleje smarowe do turbin;1
09211610-0;Płyny do celów hydraulicznych;1
09211620-3;Oleje smarowe wewnętrzne;1
09211650-2;Płyny hamulcowe;1
09220000-7;Wazelina, woski i benzyny specjalne;1
09221200-6;Parafina;1
09340000-4;Paliwa jądrowe;1
14212100-1;Otoczaki i żwir;1
14500000-6;Podobne produkty wydobywcze i kopalne;1
14522200-8;Diamenty przemysłowe;1
14620000-3;Stopy;1
14714000-9;Cyna;1
14723000-5;Skand;1
14724000-2;Tytan;1
14732000-1;Mangan;1
14790000-5;Niob, osm, ren i pallad;1
15131134-3;Kaszanka i inne wędliny krwiste;1
15131200-7;Mięso suszone, solone, wędzone lub marynowane;1
15230000-9;"Ryby suszone lub solone; ryby w solance; ryby wędzone";1
15232000-3;Ryby solone;1
15235000-4;Ryby konserwowane;1
15311000-1;Ziemniaki mrożone;1
15331110-1;Przetworzone warzywa korzeniowe;1
15331150-3;Przetworzone jadalne części warzyw strączkowych;1
15331427-6;Skoncentrowany przecier pomidorowy;1
15331462-3;Groch puszkowany;1
15332000-4;Przetworzone owoce i orzechy;1
15332100-5;Przetworzone owoce;1
15332240-8;Galaretki owocowe;1
15332400-8;Owoce konserwowane;1
15332410-1;Owoce suszone;1
15333000-1;Warzywne produkty uboczne;1
15412100-0;Tłuszcze zwierzęce;1
15551320-4;Jogurt z dodatkiem substancji smakowych;1
15613311-1;Płatki kukurydziane;1
15811500-1;Pieczywo gotowe;1
15821000-9;Pieczywo tostowe i wyroby piekarskie;1
15831500-7;Syropy cukrowe;1
15842400-6;Owoce, orzechy lub skórki owocowe zakonserwowane w cukrze;1
15851220-6;Ciasto makaronowe nadziewane;1
15871273-8;Majonez;1
15872300-4;Zioła;1
15891500-5;Buliony;1
15893000-4;Produkty suszone;1
15897100-3;Polowe racje żywnościowe;1
15930000-6;Wina;1
15981200-0;Gazowane wody mineralne;1
15982100-6;Soki ze świeżych owoców;1
15991000-1;Wyroby tytoniowe;1
15994000-2;Bibułka papierosowa i bibuła filtracyjna;1
16140000-8;Maszyny do rozrzucania obornika;1
16331000-4;Prasy zbierające;1
16630000-0;Maszyny do przygotowania preparatów żywienia zwierząt;1
16651000-3;Inkubatory i wylęgarki drobiu;1
18223000-8;Kurtki i blezery;1
18235000-5;Pulowery, swetry rozpinane i podobne wyroby;1
18318400-5;Podkoszulki;1
18330000-1;Koszulki i koszule;1
18510000-7;Biżuteria i podobne wyroby;1
18522000-4;Zegarki na rękę;1
18523000-1;Stopery;1
18813300-4;Obuwie lekkie;1
18900000-8;Bagaże, wyroby rymarskie, worki i torby;1
18924000-2;Kufry;1
18932000-1;Torby sportowe;1
19000000-6;Skóra i tkaniny włókiennicze, tworzywa sztuczne i guma;1
19212500-0;Tkaniny tapicerskie;1
19280000-2;Wełna zwierzęca, skóry i skórki;1
19511200-3;Dętki;1
19513200-7;Taśma przylepna z gumowanych materiałów włókienniczych;1
19710000-6;Kauczuk syntetyczny;1
22114000-2;Słowniki, mapy, zeszyty nutowe i inne książki;1
22321000-6;Karty świąteczne;1
22470000-5;Instrukcje;1
22472000-9;Podręczniki instrukcyjne;1
22473000-6;Instrukcje techniczne;1
22510000-8;Płyty offsetowe;1
22816000-3;Bloki papierowe;1
22817000-0;Terminarze lub organizery osobiste;1
22830000-7;Zeszyty ćwiczeń;1
22852000-7;Foldery;1
24111200-7;Gazy szlachetne;1
24113200-1;Sprężone powietrze;1
24211100-7;Tlenek cynku;1
24212500-8;Tlenek magnezu;1
24224000-0;Środki barwiące;1
24311470-2;Chlorowodór (kwas chlorowodorowy;1
24311521-5;Soda kaustyczna;1
24312220-2;Podchloryn sodowy;1
24313112-9;Polisiarczki;1
24313123-9;Siarczan glinu;1
24313300-4;Węglany;1
24313320-0;Wodorowęglan sodu;1
24313400-5;Azotany;1
24315200-7;Cyjanek, tlenek cyjanku, pioruniany, cyjaniany, krzemiany, borany, nadborany, sole kwasów nieorganicznych;1
24322000-7;"Alkohole, fenole, fenoloalkohole i ich chlorowcowane, sulfonowane, nitrowane lub nitrozowane pochodne; przemysłowe alkohole tłuszczowe";1
24322320-6;Pochodne alkoholi;1
24324000-1;Związki organiczne z azotową grupą funkcyjną;1
24326310-1;Tlenek etylenu;1
24327400-6;Produkty żywiczne;1
24456000-5;Środki przeciwko gryzoniom;1
24613000-4;Petardy sygnalizacyjne, rakiety do sygnalizacji podczas deszczu lub mgły i wyroby pirotechniczne;1
24931230-0;Wywoływacze do zdjęć rentgenowskich;1
24951100-6;Smary;1
24951310-1;Środki usuwające oblodzenia;1
30110000-3;Edytory tekstu;1
30131100-7;Maszyny do składania papieru lub kopert;1
30132300-6;Urządzenia sortujące;1
30133000-0;Sprzęt wysyłkowy;1
30141000-9;Maszyny liczące;1
30192123-9;Długopisy z końcówką z włókna;1
30195200-4;Tablice do elektronicznego kopiowania lub akcesoria;1
30195600-8;Tablice dla biuletynów lub przybory;1
30195900-1;Tablice do pisania i tablice magnetyczne;1
